id,title,pdf_link,pdf_filename,source_page,scraped_at
250227174827_en,Notification of Telecommunication Equipment under Phase-VI of MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20250227174722_en.pdf,250227174827_en_notification-of-telecommunication-equipment-under-phasevi-of-mtcte.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497840+00:00
250129150105_en,Exemption pertaining to various parameters/ Interfaces of ERs under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20250129145736_en.pdf,250129150105_en_exemption-pertaining-to-various-parameters-interfaces-of-ers.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497909+00:00
241029134337_en,Criteria for certification of Telecom Equipment having specialized test requirements under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20241029134303_en.pdf,241029134337_en_criteria-for-certification-of-telecom-equipment-having-specialized.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497951+00:00
241028112448_en,Handling of Appeals under MTCTE regime,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20241028112344_en.pdf,241028112448_en_handling-of-appeals-under-mtcte-regime.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.497989+00:00
241003124053_en,Security Certification for IP Router and WiFi CPE Products,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20241003123958_en.pdf,241003124053_en_security-certification-for-ip-router-and-wifi-cpe.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498020+00:00
240930131003_en,Acceptance of ILAC test reports under MTCTE.,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240930130729_en.pdf,240930131003_en_acceptance-of-ilac-test-reports-under-mtcte.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498045+00:00
240425132652_en,Non-Applicability of test parameters pertaining to LAN Switch ER under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240425132503_en.pdf,240425132652_en_nonapplicability-of-test-parameters-pertaining-to-lan-switch.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498069+00:00
240425132502_en,Extension of Acceptance of Test Reports from Labs Accredited by ILAC Signatories for notified Phase V products,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240425132347_en.pdf,240425132502_en_extension-of-acceptance-of-test-reports-from-labs.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498098+00:00
240403175844_en,Exemption pertaining to Parameters/Interfaces of applicable ERs under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240403175714_en.pdf,240403175844_en_exemption-pertaining-to-parametersinterfaces-of-applicable-ers-under.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498120+00:00
240403175713_en,Acceptance of test report/certification for Optical Fibre ( Single Mode) and Optical Fibre Cable under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240403174357_en.pdf,240403175713_en_acceptance-of-test-reportcertification-for-optical-fibre-single.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498143+00:00
240403154256_en,MTCTE Procedure (v3.0/ Rel. April 2024),https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240403153309_en.pdf,240403154256_en_mtcte-procedure-v30-rel-april-2024.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498165+00:00
240402114214_en,Extension of mandatory security testing of WiFi CPE and IP Router under MTCTE from 01.04.2024 to 01.07.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240402114100_en.pdf,240402114214_en_extension-of-mandatory-security-testing-of-wifi-cpe.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498186+00:00
240401184036_en,Extension of mandatory certification date for 10 products (ERs) notified under phase-III and IV of MTCTE by four months i.e. from 01.04.2024 to 01.08.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240401183958_en.pdf,240401184036_en_extension-of-mandatory-certification-date-for-10-products.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498212+00:00
240123164423_en,Requirement of documents /exemption against certain parameters of ER of PON family Broadband Equipment under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240123164332_en.pdf,240123164423_en_requirement-of-documents-exemption-against-certain-parameters-of.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498233+00:00
240108162119_en,Exemption pertaining to Optical Fibre (Single Mode) and Optical Fibre Cable under MTCTE till 30.06.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20240108161858_en.pdf,240108162119_en_exemption-pertaining-to-optical-fibre-single-mode-and.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498255+00:00
231229230109_en,Acceptance of different types of test reports or certifications for Optical Fibre - Single Mode and Optical Fibre Cable under MTCTE Scheme,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20231229230037_en.pdf,231229230109_en_acceptance-of-different-types-of-test-reports-or.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498275+00:00
231227160030_en,Re-categorization of notified products as GCS and SCs category and reduction of fee charged for ER based applications under MTCTE W.e.f. 01.01.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20231227155240_en.pdf,231227160030_en_recategorization-of-notified-products-as-gcs-and-scs.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498295+00:00
231215130034_en,Exemption for all the parameters of 5G NR interfaces pertaining to ER on Router (TEC37682308) under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20231215125650_en.pdf,231215130034_en_exemption-for-all-the-parameters-of-5g-nr.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498316+00:00
231030123306_en,Clarification regarding Bluetooth interface,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20231030123220_en.pdf,231030123306_en_clarification-regarding-bluetooth-interface.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498335+00:00
230927152924_en,Extension of mandatory certification date of 32 products (ERs) covered under Phase III and IV of MTCTE from 01.10.23 to 01.01.2024.,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230927152839_en.pdf,230927152924_en_extension-of-mandatory-certification-date-of-32-products.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498356+00:00
230828101001_en,Voluntary Security Certification for IP Router and WiFi CPE-reg,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230828100850_en.pdf,230828101001_en_voluntary-security-certification-for-ip-router-and-wifi.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498378+00:00
230703174940_en,Exemption pertaining to various parameters/ Interfaces of ERs under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230703174633_en.pdf,230703174940_en_exemption-pertaining-to-various-parameters-interfaces-of-ers.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498397+00:00
230623115819_en,Notification of the products covered under Phase V of MTCTE mandatory w.e.f.  01.07.2024,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230623115231_en.pdf,230623115819_en_notification-of-the-products-covered-under-phase-v.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498416+00:00
230623112643_en,Regarding Extension of MTCTE Phase III and  IV mandatory date and ILAC acceptance ( product wise),https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230623111728_en.pdf,230623112643_en_regarding-extension-of-mtcte-phase-iii-and-iv.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498434+00:00
230523115511_en,Revision of labeling Guidelines in MTCTE Procedure,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230523115335_en.pdf,230523115511_en_revision-of-labeling-guidelines-in-mtcte-procedure.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498451+00:00
230418111946_en,Criteria for certification for  Routers and   LAN Switches and DWDM equipment having specialized test requirements under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230418111432_en.pdf,230418111946_en_criteria-for-certification-for-routers-and-lan-switches.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498468+00:00
230413150715_en,Classification of Family and Associated Models of Optical Fibre Cable under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230413150637_en.pdf,230413150715_en_classification-of-family-and-associated-models-of-optical.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498485+00:00
230310170211_en,Exemption pertaining to parameters of Optical Fibre (Single Mode) and Optical Fibre Cable under MTCTE-reg,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230310165820_en.pdf,230310170211_en_exemption-pertaining-to-parameters-of-optical-fibre-single.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498503+00:00
230227161647_en,Notification of WiFi CPE and IP Router including security testing under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230227161435_en.pdf,230227161647_en_notification-of-wifi-cpe-and-ip-router-including.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498523+00:00
230127161534_en,Clarification regarding testing of Base Station for Cellular Network as per ER under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230127155657_en.pdf,230127161534_en_clarification-regarding-testing-of-base-station-for-cellular.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498542+00:00
230103172340_en,Acceptance of valid certificate issued by BIS or test reports issued by BIS recognized lab against safety requirements under MTCTE,https://www.mtcte.tec.gov.in/filedownload?name=downloadDocument_20230103172240_en.pdf,230103172340_en_acceptance-of-valid-certificate-issued-by-bis-or.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498560+00:00
220419140346_en,Notification for launch of MTCTE Phase-III and Phase-IV,https://www.mtcte.tec.gov.in/File?path=Notification_Document_Notification_MTCTE_3_4.pdf,220419140346_en_notification-for-launch-of-mtcte-phaseiii-and-phaseiv.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498580+00:00
220419123156_en,Meeting slots for meeting with DDG (MTCTE) regarding MTCTE issues (New),https://www.mtcte.tec.gov.in/File?path=Notification_NoticveMTCTEv1.pdf,220419123156_en_meeting-slots-for-meeting-with-ddg-mtcte-regarding.pdf,https://www.mtcte.tec.gov.in/,2025-12-18T07:34:21.498615+00:00
